Psychose,#,"De
Alfred Hitchcock",#,"1h 49min
|
Epouvante-horreur,
Thriller",#,"Avec
Anthony Perkins,
Janet Leigh,
John Gavin",#,"4,5",#,"4,4",#,,#,Une jeune femme en fuite trouve refuge dans un motel isolé...,//
American History X,#,"De
Tony Kaye",#,"1h 59min
|
Policier,
Drame",#,"Avec
Edward Norton,
Edward Furlong,
Elliott Gould",#,"2,8",#,"4,4",#,,#,"Derek veut venger la mort de son père, abattu par un dealer noir, et épouse les thèses racistes d'un groupuscule de militants d'extrême droite. Ces théories le mèneront à commettre un double meurtre...",//
Star Wars : Episode IV - Un nouvel espoir (La Guerre des étoiles),#,"De
George Lucas",#,"2h 01min
|
Aventure,
Science Fiction",#,"Avec
Mark Hamill,
Harrison Ford,
Carrie Fisher",#,"4,8",#,"4,4",#,à partir de 8 ans,#,"Il y a bien longtemps, dans une galaxie très lointaine... La guerre civile fait rage entre l'Empire galactique et l'Alliance rebelle.",//
Le Voyage de Chihiro,#,"De
Hayao Miyazaki",#,"2h 05min
|
Aventure,
Animation,
Fantastique",#,"Avec
Rumi Hiiragi,
Miyu Irino,
Mari Natsuki",#,"4,8",#,"4,4",#,à partir de 10 ans,#,"Chihiro, une fillette de 10 ans, est en route vers sa nouvelle demeure en compagnie de ses parents. Au cours du voyage, la famille fait une halte dans un parc à thème qui leur paraît délabré. Lors de la visite, les parents s’arrêtent dans un des bâtiments pour déguster quelques mets très appétissants, apparus comme par enchantement. Hélas cette nourriture les transforme en porcs. Prise de panique, Chihiro s’enfuit et se retrouve seule dans cet univers fantasmagorique ; elle rencontre alors l’énigmatique Haku, son seul allié dans cette terrible épreuve...",//
Star Wars : Episode VI - Le Retour du Jedi,#,"De
Richard Marquand",#,"2h 13min
|
Aventure,
Science Fiction",#,"Avec
Mark Hamill,
Harrison Ford,
Carrie Fisher",#,"3,0",#,"4,4",#,à partir de 8 ans,#,"L'Empire galactique est plus puissant que jamais : la construction de la nouvelle arme, l'Etoile de la Mort, menace l'univers tout entier...",//
Million Dollar Baby,#,"De
Clint Eastwood",#,"2h 12min
|
Drame",#,"Avec
Clint Eastwood,
Morgan Freeman,
Hilary Swank",#,"4,9",#,"4,4",#,,#,"Replié sur lui-même, l'entraîneur Frankie Dunn vit dans un désert affectif, en évitant toute relation qui pourrait accroître sa douleur et sa culpabilité. Un jour, une trentenaire pousse la porte de son gymnase à la recherche d'un coach...",//
Joker,#,"De
Todd Phillips",#,"2h 02min
|
Drame",#,"Avec
Joaquin Phoenix,
Robert De Niro,
Zazie Beetz",#,"4,1",#,"4,4",#,,#,"Le film, qui relate une histoire originale inédite sur grand écran, se focalise sur la figure emblématique de l’ennemi juré de Batman. Il brosse le portrait d’Arthur Fleck, un homme sans concession méprisé par la société.",//
Lion,#,"De
Garth Davis",#,"1h 58min
|
Biopic,
Drame",#,"Avec
Dev Patel,
Rooney Mara,
Nicole Kidman",#,"3,1",#,"4,4",#,,#,"Une incroyable histoire vraie :  à 5 ans, Saroo se retrouve seul dans un train traversant l’Inde qui l’emmène malgré lui à des milliers de kilomètres de sa famille. Perdu, le petit garçon doit apprendre à survivre seul dans l’immense ville de Calcutta.",//
Apocalypse Now Final Cut,#,"De
Francis Ford Coppola",#,"3h 02min
|
Drame,
Guerre",#,"Avec
Martin Sheen,
Frederic Forrest,
Robert Duvall",#,"4,8",#,"4,4",#,,#,"Cloîtré dans une chambre d'hôtel de Saïgon, le jeune capitaine Willard, mal rasé et imbibé d'alcool, est sorti de sa prostration par une convocation de l'état-major américain. Le général Corman lui confie une mission qui doit rester secrète : éliminer le colonel Kurtz, un militaire aux méthodes quelque peu expéditives...",//
Les Lumières de la ville,#,"De
Charles Chaplin",#,"1h 27min
|
Comédie dramatique,
Romance",#,"Avec
Charles Chaplin,
Virginia Cherrill,
Harry Myers",#,"4,5",#,"4,4",#,à partir de 8 ans,#,"Un vagabond s’éprend d’une belle et jeune vendeuse de fleurs aveugle qui vit avec sa mère, couverte de dettes. Suite à un quiproquo, la fleuriste s’imagine le misérable, qui vient de lui acheter une fleur, en milliardaire...",//
